destination,build,skin_xml,atlas_symbol,atlas_rectangles,rgb_multiply,slice_top_right_bottom_left
border-2-c8be8d.png,WIN63-202609091217-117204808,2939_class_848.bin,2378_class_840.png,"{'top_left': {'x': 0, 'y': 229, 'width': 6, 'height': 6}, 'top_center': {'x': 6, 'y': 229, 'width': 1, 'height': 6}, 'top_right': {'x': 12, 'y': 229, 'width': 6, 'height': 6}, 'mid_left': {'x': 0, 'y': 235, 'width': 6, 'height': 1}, 'mid_center': {'x': 6, 'y': 235, 'width': 1, 'height': 1}, 'mid_right': {'x': 12, 'y': 235, 'width': 6, 'height': 1}, 'btm_left': {'x': 0, 'y': 241, 'width': 6, 'height': 6}, 'btm_center': {'x': 6, 'y': 241, 'width': 1, 'height': 6}, 'btm_right': {'x': 12, 'y': 241, 'width': 6, 'height': 6}}",c8be8d,6 6 6 6
border-2-99c176.png,WIN63-202609091217-117204808,2939_class_848.bin,2378_class_840.png,"{'top_left': {'x': 0, 'y': 229, 'width': 6, 'height': 6}, 'top_center': {'x': 6, 'y': 229, 'width': 1, 'height': 6}, 'top_right': {'x': 12, 'y': 229, 'width': 6, 'height': 6}, 'mid_left': {'x': 0, 'y': 235, 'width': 6, 'height': 1}, 'mid_center': {'x': 6, 'y': 235, 'width': 1, 'height': 1}, 'mid_right': {'x': 12, 'y': 235, 'width': 6, 'height': 1}, 'btm_left': {'x': 0, 'y': 241, 'width': 6, 'height': 6}, 'btm_center': {'x': 6, 'y': 241, 'width': 1, 'height': 6}, 'btm_right': {'x': 12, 'y': 241, 'width': 6, 'height': 6}}",99c176,6 6 6 6
border-2-bcd99f.png,WIN63-202609091217-117204808,2939_class_848.bin,2378_class_840.png,"{'top_left': {'x': 0, 'y': 229, 'width': 6, 'height': 6}, 'top_center': {'x': 6, 'y': 229, 'width': 1, 'height': 6}, 'top_right': {'x': 12, 'y': 229, 'width': 6, 'height': 6}, 'mid_left': {'x': 0, 'y': 235, 'width': 6, 'height': 1}, 'mid_center': {'x': 6, 'y': 235, 'width': 1, 'height': 1}, 'mid_right': {'x': 12, 'y': 235, 'width': 6, 'height': 1}, 'btm_left': {'x': 0, 'y': 241, 'width': 6, 'height': 6}, 'btm_center': {'x': 6, 'y': 241, 'width': 1, 'height': 6}, 'btm_right': {'x': 12, 'y': 241, 'width': 6, 'height': 6}}",bcd99f,6 6 6 6
border-2-d3e9bd.png,WIN63-202609091217-117204808,2939_class_848.bin,2378_class_840.png,"{'top_left': {'x': 0, 'y': 229, 'width': 6, 'height': 6}, 'top_center': {'x': 6, 'y': 229, 'width': 1, 'height': 6}, 'top_right': {'x': 12, 'y': 229, 'width': 6, 'height': 6}, 'mid_left': {'x': 0, 'y': 235, 'width': 6, 'height': 1}, 'mid_center': {'x': 6, 'y': 235, 'width': 1, 'height': 1}, 'mid_right': {'x': 12, 'y': 235, 'width': 6, 'height': 1}, 'btm_left': {'x': 0, 'y': 241, 'width': 6, 'height': 6}, 'btm_center': {'x': 6, 'y': 241, 'width': 1, 'height': 6}, 'btm_right': {'x': 12, 'y': 241, 'width': 6, 'height': 6}}",d3e9bd,6 6 6 6
border-2-d4c2ad.png,WIN63-202609091217-117204808,2939_class_848.bin,2378_class_840.png,"{'top_left': {'x': 0, 'y': 229, 'width': 6, 'height': 6}, 'top_center': {'x': 6, 'y': 229, 'width': 1, 'height': 6}, 'top_right': {'x': 12, 'y': 229, 'width': 6, 'height': 6}, 'mid_left': {'x': 0, 'y': 235, 'width': 6, 'height': 1}, 'mid_center': {'x': 6, 'y': 235, 'width': 1, 'height': 1}, 'mid_right': {'x': 12, 'y': 235, 'width': 6, 'height': 1}, 'btm_left': {'x': 0, 'y': 241, 'width': 6, 'height': 6}, 'btm_center': {'x': 6, 'y': 241, 'width': 1, 'height': 6}, 'btm_right': {'x': 12, 'y': 241, 'width': 6, 'height': 6}}",d4c2ad,6 6 6 6
border-2-e6ddc8.png,WIN63-202609091217-117204808,2939_class_848.bin,2378_class_840.png,"{'top_left': {'x': 0, 'y': 229, 'width': 6, 'height': 6}, 'top_center': {'x': 6, 'y': 229, 'width': 1, 'height': 6}, 'top_right': {'x': 12, 'y': 229, 'width': 6, 'height': 6}, 'mid_left': {'x': 0, 'y': 235, 'width': 6, 'height': 1}, 'mid_center': {'x': 6, 'y': 235, 'width': 1, 'height': 1}, 'mid_right': {'x': 12, 'y': 235, 'width': 6, 'height': 1}, 'btm_left': {'x': 0, 'y': 241, 'width': 6, 'height': 6}, 'btm_center': {'x': 6, 'y': 241, 'width': 1, 'height': 6}, 'btm_right': {'x': 12, 'y': 241, 'width': 6, 'height': 6}}",e6ddc8,6 6 6 6
border-2-eaddcd.png,WIN63-202609091217-117204808,2939_class_848.bin,2378_class_840.png,"{'top_left': {'x': 0, 'y': 229, 'width': 6, 'height': 6}, 'top_center': {'x': 6, 'y': 229, 'width': 1, 'height': 6}, 'top_right': {'x': 12, 'y': 229, 'width': 6, 'height': 6}, 'mid_left': {'x': 0, 'y': 235, 'width': 6, 'height': 1}, 'mid_center': {'x': 6, 'y': 235, 'width': 1, 'height': 1}, 'mid_right': {'x': 12, 'y': 235, 'width': 6, 'height': 1}, 'btm_left': {'x': 0, 'y': 241, 'width': 6, 'height': 6}, 'btm_center': {'x': 6, 'y': 241, 'width': 1, 'height': 6}, 'btm_right': {'x': 12, 'y': 241, 'width': 6, 'height': 6}}",eaddcd,6 6 6 6
border-3-d7d1be.png,WIN63-202609091217-117204808,2856_habbo_skin_border_slot_xml$2931e81a58d6dbf76b1ee461e6faa1e21438669505.bin,2378_class_840.png,"{'top_left': {'x': 20, 'y': 30, 'width': 3, 'height': 3}, 'top_center': {'x': 23, 'y': 30, 'width': 1, 'height': 3}, 'top_right': {'x': 25, 'y': 30, 'width': 3, 'height': 3}, 'mid_left': {'x': 20, 'y': 33, 'width': 3, 'height': 1}, 'mid_center': {'x': 23, 'y': 33, 'width': 1, 'height': 1}, 'mid_right': {'x': 25, 'y': 33, 'width': 3, 'height': 1}, 'btm_left': {'x': 20, 'y': 35, 'width': 3, 'height': 3}, 'btm_center': {'x': 23, 'y': 35, 'width': 1, 'height': 3}, 'btm_right': {'x': 25, 'y': 35, 'width': 3, 'height': 3}}",d7d1be,3 3 3 3
border-3-1f5d78.png,WIN63-202609091217-117204808,2856_habbo_skin_border_slot_xml$2931e81a58d6dbf76b1ee461e6faa1e21438669505.bin,2378_class_840.png,"{'top_left': {'x': 20, 'y': 30, 'width': 3, 'height': 3}, 'top_center': {'x': 23, 'y': 30, 'width': 1, 'height': 3}, 'top_right': {'x': 25, 'y': 30, 'width': 3, 'height': 3}, 'mid_left': {'x': 20, 'y': 33, 'width': 3, 'height': 1}, 'mid_center': {'x': 23, 'y': 33, 'width': 1, 'height': 1}, 'mid_right': {'x': 25, 'y': 33, 'width': 3, 'height': 1}, 'btm_left': {'x': 20, 'y': 35, 'width': 3, 'height': 3}, 'btm_center': {'x': 23, 'y': 35, 'width': 1, 'height': 3}, 'btm_right': {'x': 25, 'y': 35, 'width': 3, 'height': 3}}",1f5d78,3 3 3 3
border-3-f6ebd7.png,WIN63-202609091217-117204808,2856_habbo_skin_border_slot_xml$2931e81a58d6dbf76b1ee461e6faa1e21438669505.bin,2378_class_840.png,"{'top_left': {'x': 20, 'y': 30, 'width': 3, 'height': 3}, 'top_center': {'x': 23, 'y': 30, 'width': 1, 'height': 3}, 'top_right': {'x': 25, 'y': 30, 'width': 3, 'height': 3}, 'mid_left': {'x': 20, 'y': 33, 'width': 3, 'height': 1}, 'mid_center': {'x': 23, 'y': 33, 'width': 1, 'height': 1}, 'mid_right': {'x': 25, 'y': 33, 'width': 3, 'height': 1}, 'btm_left': {'x': 20, 'y': 35, 'width': 3, 'height': 3}, 'btm_center': {'x': 23, 'y': 35, 'width': 1, 'height': 3}, 'btm_right': {'x': 25, 'y': 35, 'width': 3, 'height': 3}}",f6ebd7,3 3 3 3
