semantic_alias,build,source_export,crop,color_transform,output,sha256
dropmenu-default,WIN63-202609091217-117204808,2378_class_840.png,template dropmenu_frame_default; nine entities,none,src/assets/images/habbo-skin/slices/dropmenu-default.png,f28dae696865181c161f6aaa4a8bccd9329a8c8ca85870799dbd8effa3ba8565
dropmenu-default-arrow,WIN63-202609091217-117204808,2378_class_840.png,168 1 16 16,none,src/assets/images/habbo-skin/slices/dropmenu-default-arrow.png,9aca4f54c7f3d2711c23b091d88088b24e8f58cd3eefe6ec700839867b596b77
help-3-default,WIN63-202609091217-117204808,2925_habbo_skin_ubuntu_png$3e7b6c31bebfcaeb507157a302e0b5be1308799348.png,140 39 19 20,none,src/assets/images/habbo-skin/slices/help-3-default.png,dfdecb4f21eac74bd6c6a003c2b9b91191fa24e4ac49dd7b1347305471ac44ac
help-3-hover,WIN63-202609091217-117204808,2925_habbo_skin_ubuntu_png$3e7b6c31bebfcaeb507157a302e0b5be1308799348.png,200 39 19 20,none,src/assets/images/habbo-skin/slices/help-3-hover.png,6096bbbf0e98ed4a812eb5ee3742213332667fbd0aac2be3d21733f79e0d4ec5
help-3-pressed,WIN63-202609091217-117204808,2925_habbo_skin_ubuntu_png$3e7b6c31bebfcaeb507157a302e0b5be1308799348.png,170 39 19 20,none,src/assets/images/habbo-skin/slices/help-3-pressed.png,635d98abbaaddc9c78fb0b8c77259eeac6621b699bbd29eb6f2c62199fa5f576
scaler-3,WIN63-202609091217-117204808,2925_habbo_skin_ubuntu_png$3e7b6c31bebfcaeb507157a302e0b5be1308799348.png,120 100 20 20,none,src/assets/images/habbo-skin/slices/scaler-3.png,72c9bb027ff84e18774d523a89d9af6c9b19b19893473d6db9f0871855f49e68
scroll-thumb-3-default,WIN63-202609091217-117204808,2925_habbo_skin_ubuntu_png$3e7b6c31bebfcaeb507157a302e0b5be1308799348.png,160 90 17 5; 160 95 17 1; 160 119 17 5,none,src/assets/images/habbo-skin/slices/scroll-thumb-3-default.png,c0ba4d3b6b56820588593884a189f89a02c1936a67932cae602ddbb6e35a8767
scroll-grip-3-default,WIN63-202609091217-117204808,2925_habbo_skin_ubuntu_png$3e7b6c31bebfcaeb507157a302e0b5be1308799348.png,160 100 17 16,none,src/assets/images/habbo-skin/slices/scroll-grip-3-default.png,10b890f4ef6a684e4fb898fc7414d6f1c31a15822f84a74c99449a99ddbf23eb
scroll-thumb-3-hover,WIN63-202609091217-117204808,2925_habbo_skin_ubuntu_png$3e7b6c31bebfcaeb507157a302e0b5be1308799348.png,200 90 17 5; 200 95 17 1; 200 119 17 5,none,src/assets/images/habbo-skin/slices/scroll-thumb-3-hover.png,baf330fc5987ed177eab480bdeaf91e1a1f2e7efc078ef2c91b56040623cb2c5
scroll-grip-3-hover,WIN63-202609091217-117204808,2925_habbo_skin_ubuntu_png$3e7b6c31bebfcaeb507157a302e0b5be1308799348.png,200 100 17 16,none,src/assets/images/habbo-skin/slices/scroll-grip-3-hover.png,6935c5dd43cd0ec69337d95ee57e4cb9dc4d2ac2bc6ebf9469d6de474d41a236
scroll-thumb-3-pressed,WIN63-202609091217-117204808,2925_habbo_skin_ubuntu_png$3e7b6c31bebfcaeb507157a302e0b5be1308799348.png,180 90 17 5; 180 95 17 1; 180 119 17 5,none,src/assets/images/habbo-skin/slices/scroll-thumb-3-pressed.png,c6542d1da3273754c5968cb110377dee592358a77238b547b43f7cd0bedd78f7
scroll-grip-3-pressed,WIN63-202609091217-117204808,2925_habbo_skin_ubuntu_png$3e7b6c31bebfcaeb507157a302e0b5be1308799348.png,180 100 17 16,none,src/assets/images/habbo-skin/slices/scroll-grip-3-pressed.png,be9cae291e54d768d3192667bbc15a2a2f8df795ce2f5b45b5e0f2f5e358097b
scroll-track-v-disabled,WIN63-202609091217-117204808,2925_habbo_skin_ubuntu_png$3e7b6c31bebfcaeb507157a302e0b5be1308799348.png,220 130 17 2,none,src/assets/images/habbo-skin/slices/scroll-track-v-disabled.png,efcc22590d672d418298fe98028ae896e5b2d2ce8d9779159aee84be29ecdfc3
scroll-mid-3-default,WIN63-202609091217-117204808,2925_habbo_skin_ubuntu_png$3e7b6c31bebfcaeb507157a302e0b5be1308799348.png,160 95 17 1,none,src/assets/images/habbo-skin/slices/scroll-mid-3-default.png,58c3851125c299a364929b0f84c56830ef9b980420d3503e458c0363b6bbf72b
scroll-mid-3-hover,WIN63-202609091217-117204808,2925_habbo_skin_ubuntu_png$3e7b6c31bebfcaeb507157a302e0b5be1308799348.png,200 95 17 1,none,src/assets/images/habbo-skin/slices/scroll-mid-3-hover.png,61c255114ab00414fa9e38e3efa2013503a90b30fc9d1d42db1b3bb27e19f55c
scroll-mid-3-pressed,WIN63-202609091217-117204808,2925_habbo_skin_ubuntu_png$3e7b6c31bebfcaeb507157a302e0b5be1308799348.png,180 95 17 1,none,src/assets/images/habbo-skin/slices/scroll-mid-3-pressed.png,f3594ed47421174ed0dbfa04a69a5ead2905d9a7c00f6312b0ac5c1032107ddc
scroll-up-3-default,WIN63-202609091217-117204808,2925_habbo_skin_ubuntu_png$3e7b6c31bebfcaeb507157a302e0b5be1308799348.png,160 70 17 16,none,src/assets/images/habbo-skin/slices/scroll-up-3-default.png,0bcea60cc8db8da8ad06ab4da828348cae966f7ad24f7e53ce2e21ddc0f79cd3
scroll-up-3-pressed,WIN63-202609091217-117204808,2925_habbo_skin_ubuntu_png$3e7b6c31bebfcaeb507157a302e0b5be1308799348.png,180 70 17 16,none,src/assets/images/habbo-skin/slices/scroll-up-3-pressed.png,748a1c213360f5f39292bd910b01c161162e2b37190bba5f4da682169d2b262c
scroll-up-3-hover,WIN63-202609091217-117204808,2925_habbo_skin_ubuntu_png$3e7b6c31bebfcaeb507157a302e0b5be1308799348.png,200 70 17 16,none,src/assets/images/habbo-skin/slices/scroll-up-3-hover.png,efd8f6428757c8824b2461da1330f3dae327e49c53370e5fa70699c5b804a639
scroll-up-3-disabled,WIN63-202609091217-117204808,2925_habbo_skin_ubuntu_png$3e7b6c31bebfcaeb507157a302e0b5be1308799348.png,220 70 17 16,none,src/assets/images/habbo-skin/slices/scroll-up-3-disabled.png,01e14e3c7ec077f049b126b7cc9edf75cfa1757556f9b34e06e3d366bce128b0
scroll-down-3-default,WIN63-202609091217-117204808,2925_habbo_skin_ubuntu_png$3e7b6c31bebfcaeb507157a302e0b5be1308799348.png,160 140 17 16,none,src/assets/images/habbo-skin/slices/scroll-down-3-default.png,9e8afccf68d432059e3c163ab33cdc7f5a4977efb04b31853b503a22cb7625b5
scroll-down-3-pressed,WIN63-202609091217-117204808,2925_habbo_skin_ubuntu_png$3e7b6c31bebfcaeb507157a302e0b5be1308799348.png,180 140 17 16,none,src/assets/images/habbo-skin/slices/scroll-down-3-pressed.png,507daf1df6e89d7c4cf0a54dfa6ac42b6061ab8583e230981e5ab532e31b4528
scroll-down-3-hover,WIN63-202609091217-117204808,2925_habbo_skin_ubuntu_png$3e7b6c31bebfcaeb507157a302e0b5be1308799348.png,200 140 17 16,none,src/assets/images/habbo-skin/slices/scroll-down-3-hover.png,f0e93058fa9a9fae1f45502fae1839e7d97bc435d0b94698e2b6d3d0517b3bdc
scroll-down-3-disabled,WIN63-202609091217-117204808,2925_habbo_skin_ubuntu_png$3e7b6c31bebfcaeb507157a302e0b5be1308799348.png,220 140 17 16,none,src/assets/images/habbo-skin/slices/scroll-down-3-disabled.png,dcaaa5a49737776dc025440fee0e0b06d1e88ecf4cc0d1879b8b5dee0448816a
scroll-track-3,WIN63-202609091217-117204808,2925_habbo_skin_ubuntu_png$3e7b6c31bebfcaeb507157a302e0b5be1308799348.png,160 130 17 2,none,src/assets/images/habbo-skin/slices/scroll-track-3.png,6478847c0dd576272ecda3b772ec13d7a1721d03432f0a3d24d7a1f853c8dc92
